n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,acc_train,acc_test,f1_train,f1_test,n_features_
100,20.0,log2,2,5.0,0.8016618890380638,0.7933962264150943,0.504494668933635,0.49765943287959874,324
100,20.0,log2,5,5.0,0.8016618890380638,0.7933962264150943,0.504494668933635,0.49765943287959874,324
300,20.0,log2,2,5.0,0.7981965963931927,0.7915094339622641,0.5006196117934703,0.4952688725276318,324
300,20.0,log2,5,5.0,0.7981965963931927,0.7915094339622641,0.5006196117934703,0.4952688725276318,324
300,,log2,2,20.0,0.7949490184694655,0.7886066763425253,0.4977615703414695,0.4927162519810057,324
300,,log2,5,20.0,0.7949490184694655,0.7886066763425253,0.4977615703414695,0.4927162519810057,324
300,64.0,log2,2,20.0,0.7949490184694655,0.7886066763425253,0.4977615703414695,0.4927162519810057,324
300,64.0,log2,5,20.0,0.7949490184694655,0.7886066763425253,0.4977615703414695,0.4927162519810057,324
200,,log2,2,20.0,0.7943503029863203,0.7888243831640058,0.49685948804228913,0.4924480470728289,324
200,,log2,5,20.0,0.7943503029863203,0.7888243831640058,0.49685948804228913,0.4924480470728289,324
200,64.0,log2,2,20.0,0.7943503029863203,0.7888243831640058,0.49685948804228913,0.4924480470728289,324
200,64.0,log2,5,20.0,0.7943503029863203,0.7888243831640058,0.49685948804228913,0.4924480470728289,324
200,32.0,log2,2,20.0,0.7949671613628941,0.7886792452830189,0.49740847924159715,0.49230884073537445,324
200,32.0,log2,5,20.0,0.7949671613628941,0.7886792452830189,0.49740847924159715,0.49230884073537445,324
100,10.0,sqrt,2,2.0,0.7817954207336986,0.7800435413642961,0.48854885260420366,0.4921890085867777,324
300,32.0,log2,2,20.0,0.7943684458797489,0.7876632801161103,0.4970657505039772,0.4916199245799701,324
300,32.0,log2,5,20.0,0.7943684458797489,0.7876632801161103,0.4970657505039772,0.4916199245799701,324
200,20.0,log2,2,5.0,0.7941507311586051,0.787155297532656,0.4961510358749137,0.4905317188057922,324
200,20.0,log2,5,5.0,0.7941507311586051,0.787155297532656,0.4961510358749137,0.4905317188057922,324
100,10.0,sqrt,2,1.0,0.7794187016945463,0.7785921625544268,0.4855139336073215,0.4901453516760739,324
100,32.0,log2,2,20.0,0.7918465836931674,0.7863570391872279,0.493993019621959,0.48953479605576966,324
100,32.0,log2,5,20.0,0.7918465836931674,0.7863570391872279,0.493993019621959,0.48953479605576966,324
100,,log2,2,20.0,0.7910664392757357,0.786066763425254,0.49302363623524226,0.4891343384286968,324
100,,log2,5,20.0,0.7910664392757357,0.786066763425254,0.49302363623524226,0.4891343384286968,324
100,64.0,log2,2,20.0,0.7910664392757357,0.786066763425254,0.49302363623524226,0.4891343384286968,324
100,64.0,log2,5,20.0,0.7910664392757357,0.786066763425254,0.49302363623524226,0.4891343384286968,324
200,10.0,sqrt,2,1.0,0.7775499836713959,0.7762699564586357,0.4834691622378737,0.4875900352407469,324
100,10.0,sqrt,5,1.0,0.7780216989005406,0.7758345428156749,0.48406196003704277,0.4871429431182907,324
300,10.0,sqrt,5,1.0,0.7773685547371095,0.7750362844702468,0.483222718113331,0.48636218208562515,324
100,20.0,log2,2,10.0,0.7862222867302877,0.7822931785195936,0.4878101602403575,0.4852272596690977,324
